,Address,Year built,Zestimate,Baths,Sqft,School_rating,Status,Beds,Heating,Cooling,HomeType,Region,Hoa,TaxAssessedValue
0," 510 Teresa Pl, San Ramon, CA 94583",1978,"$1,740,603",3,"2,750 sqft",8,"Sold: $1,720,000", 5," Zoned, Natural Gas", Zoned, SingleFamily, San Ramon,Has HOA fee: No," $690,020"
1," 796 Lakemont Pl UNIT 6, San Ramon, CA 94582",1990,"$962,333",3,"1,727 sqft",9,"Sold: $950,000", 2, Forced Air, Central Air, Townhouse, San Ramon,HOA fee: $582 monthly," $805,000"
2," 321 Kingsley Pl, San Ramon, CA 94583",1971,"$1,194,027",2,"1,479 sqft",9,"Sold: $1,170,000", 4, Forced air,, SingleFamily, San Ramon,HOA fee: $582 monthly," $227,298"
3," 339 Goldfield Pl, San Ramon, CA 94582",2016,"$1,409,758",3,"1,996 sqft",9,"Sold: $1,400,000", 3, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $99 monthly," $1,063,000"
4," 2053 Echo Pl, San Ramon, CA 94582",1989,"$1,177,549",3,"2,097 sqft",9,"Sold: $1,151,000", 3," Forced air, Gas", Other, Townhouse, San Ramon,Has HOA fee: Yes," $923,104"
5," 7141 Watsonia Dr, San Ramon, CA 94582",2006,"$1,942,718",4,"3,175 sqft",9,"Sold: $1,938,888", 4," Zoned, Fireplace(s)", Zoned, SingleFamily, San Ramon,HOA fee: $20 monthly," $1,272,052"
6," 9688 Ashby Way, San Ramon, CA 94583",1965,"$1,142,434",2,"1,202 sqft",9,"Sold: $1,120,000", 3, Forced air, Central, SingleFamily, San Ramon,HOA fee: $20 monthly," $865,943"
7," 140 Eastridge Dr, San Ramon, CA 94582",1988,"$445,712",1,730 sqft,8,"Sold: $440,000", 1, Forced Air, Central Air, Condo, San Ramon,HOA fee: $336 monthly," $436,968"
8," 3012 Sorrelwood Dr, San Ramon, CA 94582",1998,"$1,906,316",5,"3,847 sqft",9,"Sold: $1,895,000", 5, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $40 monthly," $1,523,082"
9," 511 Skyline Dr, San Ramon, CA 94583",1996,"$635,967",2,995 sqft,8,"Sold: $630,000", 2,,, Condo, San Ramon,Has HOA fee: Yes," $264,911"
